Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [GET] Dashboard,57,57,2100.0,2313.031566666994,2010.0870999995095,6004.229599999235,57.0,0.4831271897496384,0.4831271897496384,2100,2200,2300,2400,2600,3000,5600,6000,6000,6000,6000
GET,/api/health [GET],65,65,2100.0,2280.8016923075998,2009.788400002435,5743.153499999607,57.0,0.5509345146267807,0.5509345146267807,2100,2100,2300,2400,2500,2600,4900,5700,5700,5700,5700
GET,/api/model/uptime [GET],210,210,2100.0,2364.0952757141863,2010.6405000005907,5980.994099998497,57.0,1.7799422780249836,1.7799422780249836,2100,2200,2300,2400,2600,4600,5100,5300,6000,6000,6000
POST,/api/predict [BURST],1951,1948,2100.0,2258.997348744233,2008.2163999977638,6903.690999999526,58.44848795489492,16.53651135441306,16.511083607584133,2100,2200,2300,2400,2500,2700,4400,5000,6900,6900,6900
POST,/api/predict [INTENSIVE],2153,2149,2100.0,2283.5837737575134,2008.2602000002225,6814.606300002197,58.77798420808175,18.248646307560904,18.21474264512233,2100,2200,2300,2300,2500,3100,4800,5800,6400,6800,6800
POST,/api/predict [POST],728,724,2100.0,2352.0757326923017,2010.528399998293,6744.863100000657,61.370879120879124,6.170466563819943,6.136562901381372,2100,2200,2300,2300,2500,4500,5700,6000,6700,6700,6700
POST,/api/predict/batch [POST],946,931,2100.0,2435.017759090941,2009.8639000025287,8809.570500001428,103.32346723044398,8.01821616672207,7.891077432577427,2100,2200,2300,2400,2700,4800,6900,7900,8800,8800,8800
GET,/api/statistics [GET],150,150,2100.0,2258.773126000113,2013.7404000015522,4788.452699998743,57.0,1.271387341446417,1.271387341446417,2100,2200,2300,2400,2600,2900,4700,4800,4800,4800,4800
GET,/api/visualizations [GET],76,72,2100.0,2352.7686697370405,2011.9492999983777,5998.288700000558,103.42105263157895,0.6441695863328513,0.6102659238942801,2100,2300,2300,2400,2500,3500,6000,6000,6000,6000,6000
,Aggregated,6336,6306,2100.0,2309.6399827651485,2008.2163999977638,8809.570500001428,66.02556818181819,53.70340130269665,53.44912383440737,2100,2200,2300,2400,2500,3500,5100,5800,8000,8800,8800
