Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [GET] Dashboard,41,10,2400.0,2380.9832121950444,2024.3809999992664,2902.2770000010496,21089.365853658535,0.3466616474247723,0.0845516213231152,2400,2500,2600,2600,2700,2700,2900,2900,2900,2900,2900
GET,/api/health [GET],34,3,2400.0,2391.7776352935857,2030.8393999985128,2798.267099999066,118.82352941176471,0.28747551249859166,0.025365486396934558,2400,2500,2600,2600,2700,2800,2800,2800,2800,2800,2800
GET,/api/model/uptime [GET],108,108,2400.0,2509.921832407431,2023.273299997527,4794.82900000221,57.0,0.9131575102896441,0.9131575102896441,2400,2500,2700,2800,3100,3300,3500,3700,4800,4800,4800
POST,/api/predict [BURST],888,885,2400.0,2513.768620382903,2025.289100001828,6901.428799999849,60.177927927927925,7.5081839734926294,7.482818487095694,2400,2500,2600,2700,2900,3200,4300,5000,6900,6900,6900
POST,/api/predict [INTENSIVE],986,980,2400.0,2533.664441277861,2026.231200001348,6251.013900000544,61.82251521298174,8.336789862459158,8.28605888966529,2400,2500,2600,2700,2900,3300,4400,5200,6300,6300,6300
POST,/api/predict [POST],325,323,2400.0,2547.423319692281,2030.6744999979855,5922.051500001544,61.81846153846154,2.7479276930012437,2.731017368736621,2400,2500,2600,2700,3000,3300,4300,5100,5900,5900,5900
POST,/api/predict/batch [POST],462,449,2400.0,2688.709101731495,2026.1925000013434,9573.874699999578,139.62770562770564,3.906284905127922,3.7963677974078722,2400,2600,2700,2800,3100,3600,6500,9000,9600,9600,9600
GET,/api/statistics [GET],77,60,2400.0,2486.643697402613,2036.3433999991685,4161.620599999878,113.51948051948052,0.651047484187987,0.5073097279386912,2400,2500,2500,2600,3100,3600,3700,4200,4200,4200,4200
GET,/api/visualizations [GET],32,0,2400.0,2456.111003124988,2045.0440000022354,2956.433299998025,939.0,0.27056518823396863,0.0,2400,2500,2600,2700,2800,2900,3000,3000,3000,3000,3000
,Aggregated,2953,2818,2400.0,2546.7644036234083,2023.273299997527,9573.874699999578,376.7839485269218,24.968093776715918,23.826646888853862,2400,2500,2600,2700,2900,3300,4400,5700,9400,9600,9600
