Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/ [GET] Dashboard,18,0,2100.0,2279.251938888491,2037.341600000218,3812.93789999836,27874.0,0.1508129037763677,0.0,2200,2300,2300,2400,2600,3800,3800,3800,3800,3800,3800
GET,/api/health [GET],19,0,2300.0,2506.1932684213007,2029.4111000002886,6588.77399999983,124.52631578947368,0.15919139843061034,0.0,2300,2300,2500,2600,2800,6600,6600,6600,6600,6600,6600
GET,/api/model/uptime [GET],48,15,2200.0,2787.6229437501934,2027.4691000013263,7534.560299998702,159.27083333333334,0.4021677434036472,0.12567741981363975,2300,2400,2600,2800,5100,7100,7500,7500,7500,7500,7500
POST,/api/predict [BURST],460,455,2300.0,2538.782010217383,2023.1191000020772,9838.881300001958,65.64565217391305,3.854107540951619,3.812215067680406,2300,2400,2500,2600,3100,3800,6400,8800,9800,9800,9800
POST,/api/predict [INTENSIVE],469,462,2300.0,2560.8701294242433,2022.336300000461,9194.490399997449,67.71641791044776,3.929513992839803,3.8708645302601044,2300,2400,2500,2600,3200,3800,7700,8500,9200,9200,9200
POST,/api/predict [POST],165,159,2300.0,2692.4470848485876,2037.321100000554,8720.634299999801,78.15151515151516,1.3824516179500372,1.3321806500245814,2300,2500,2600,2800,3800,4300,8000,8100,8700,8700,8700
POST,/api/predict/batch [POST],228,214,2300.0,2939.9874899122,2030.7802999996056,15318.814099999145,239.2938596491228,1.9102967811673242,1.7929978560079272,2300,2400,2600,2800,3800,5700,14000,15000,15000,15000,15000
GET,/api/statistics [GET],32,0,2200.0,2307.7649343749727,2032.4097999982769,3146.5147999988403,312.75,0.2681118289357648,0.0,2300,2400,2400,2400,2700,3000,3100,3100,3100,3100,3100
GET,/api/visualizations [GET],14,0,2300.0,2282.084878571238,2053.372499998659,2567.920599998615,939.0,0.1172989251593971,0.0,2300,2400,2400,2500,2500,2600,2600,2600,2600,2600,2600
,Aggregated,1453,1305,2300.0,2623.3355172745805,2022.336300000461,15318.814099999145,457.1968341362698,12.17395273261457,10.933935523786658,2300,2400,2500,2600,3200,4300,7700,8800,15000,15000,15000
