Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763892745,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763892746,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763892747,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1763892748,20,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,1,0,2089.0284000015527,2089.0284000015527,2089.0284000015527,2089.0284000015527,200.0
1763892749,25,,Aggregated,0.000000,0.000000,2800,2800,3500,3500,3500,3500,3500,3500,3500,3500,3500,7,4,2800.0,2877.4306142856535,2089.0284000015527,3512.0998000020336,273.85714285714283
1763892750,30,,Aggregated,0.333333,0.000000,2800,3500,3500,4000,4700,4700,4700,4700,4700,4700,4700,14,6,2800.0,3180.0525428570836,2089.0284000015527,4742.302700000437,882.3571428571429
1763892751,35,,Aggregated,0.250000,0.000000,2700,2800,3500,3500,4700,4700,4700,4700,4700,4700,4700,20,8,2700.0,2952.9344049997235,2089.0284000015527,4742.302700000437,2213.8
1763892752,40,,Aggregated,1.400000,0.800000,2700,2800,3200,3500,4000,4700,4700,4700,4700,4700,4700,25,11,2700.0,2908.891139999614,2089.0284000015527,4742.302700000437,1823.84
1763892753,45,,Aggregated,2.500000,1.000000,2700,3200,3200,3300,4000,4700,4700,4700,4700,4700,4700,38,20,2700.0,2919.1023342102294,2089.0284000015527,4742.302700000437,1349.4736842105262
1763892754,50,,Aggregated,3.285714,1.285714,2700,2800,3200,3300,3800,4700,4700,4700,4700,4700,4700,51,26,2700.0,2855.4595588233783,2026.437900000019,4742.302700000437,1765.8039215686274
1763892755,50,,Aggregated,3.125000,1.375000,2500,2700,2900,3200,3500,4600,4700,4700,4700,4700,4700,68,41,2500.0,2700.4474014704956,2022.336300000461,4742.302700000437,1385.5882352941176
1763892756,50,,Aggregated,4.333333,2.222222,2400,2600,2700,2800,3500,4000,4700,4700,4700,4700,4700,88,59,2400.0,2593.3002011361996,2022.336300000461,4742.302700000437,1094.4204545454545
1763892757,50,,Aggregated,5.100000,2.600000,2300,2500,2700,2800,3300,3800,4700,4700,4700,4700,4700,102,72,2300.0,2528.2190598037573,2022.336300000461,4742.302700000437,952.6862745098039
1763892759,50,,Aggregated,6.800000,4.100000,2200,2500,2600,2700,3200,3800,4700,4700,4700,4700,4700,117,86,2200.0,2470.735622222042,2022.336300000461,4742.302700000437,839.0854700854701
1763892760,50,,Aggregated,8.800000,5.900000,2300,2400,2500,2700,3200,3500,4700,4700,4700,4700,4700,133,102,2300.0,2438.469972932184,2022.336300000461,4742.302700000437,745.0
1763892761,50,,Aggregated,10.100000,7.200000,2200,2300,2500,2600,3100,3500,4600,4700,4700,4700,4700,154,122,2200.0,2390.83362727268,2022.336300000461,4742.302700000437,652.8376623376623
1763892762,50,,Aggregated,12.600000,9.800000,2100,2300,2400,2500,2800,3500,4600,4700,4700,4700,4700,174,140,2100.0,2353.500001724163,2022.336300000461,4742.302700000437,745.0862068965517
1763892763,50,,Aggregated,12.600000,9.800000,2100,2300,2300,2500,2800,3300,4600,4700,4700,4700,4700,190,155,2100.0,2329.447613684189,2022.336300000461,4742.302700000437,687.9421052631579
1763892764,50,,Aggregated,13.900000,11.600000,2100,2200,2300,2400,2800,3300,4000,4700,4700,4700,4700,201,164,2100.0,2314.606570149236,2022.336300000461,4742.302700000437,654.497512437811
1763892765,50,,Aggregated,16.500000,14.400000,2100,2200,2300,2400,2700,3300,4000,4700,4700,4700,4700,218,178,2100.0,2296.0641532109726,2022.336300000461,4742.302700000437,739.8577981651376
